Name;Timeglobal;Time;Shearstress;Shearrate;Shearstrain;Normalforce;Complexstrain;Frequency;Complexstress;Gprime;Gsecond;Gstar;Torque;Temperature;Gap;Torque (requested)(N m);Angular position (requested)(rad);Angular velocity (requested)(rad/s);Temperature (requested)(°C)
Pre Shear Initial;22,34;1,000;78,35;469,4;4,70350E+004;0,07777;;;;;;;1,396E-003;25,11;1,0000;NaN;526,8;106,1;23,00
Pre Shear Initial;23,34;2,000;62,09;498,5;9,70413E+004;0,07814;;;;;;;1,106E-003;25,11;1,0000;NaN;633,4;106,5;23,00
Pre Shear Initial;24,34;3,000;23,22;500,0;1,47041E+005;0,07826;;;;;;;4,137E-004;25,11;1,0000;NaN;739,9;106,5;23,00
Pre Shear Initial;25,34;4,000;23,25;500,0;1,97047E+005;0,07779;;;;;;;4,142E-004;25,10;1,0000;NaN;846,4;106,5;23,00
Pre Shear Initial;26,34;5,000;23,31;500,0;2,47047E+005;0,07708;;;;;;;4,154E-004;25,09;1,0000;NaN;952,9;106,5;23,00
Pre Shear Initial;27,34;6,000;23,34;500,0;2,97053E+005;0,07711;;;;;;;4,159E-004;25,06;1,0000;NaN;1,059E+003;106,5;23,00
Pre Shear Initial;28,34;7,000;23,36;500,0;3,47053E+005;0,07749;;;;;;;4,162E-004;25,03;1,0000;NaN;1,166E+003;106,5;23,00
Pre Shear Initial;29,34;8,000;23,38;500,0;3,97059E+005;0,07727;;;;;;;4,165E-004;25,00;1,0000;NaN;1,273E+003;106,5;23,00
Pre Shear Initial;30,34;9,000;23,39;500,0;4,47059E+005;0,07746;;;;;;;4,167E-004;24,97;1,0000;NaN;1,379E+003;106,5;23,00
Pre Shear Initial;31,34;10,00;23,38;500,0;4,97059E+005;0,07771;;;;;;;4,166E-004;24,92;1,0000;NaN;1,486E+003;106,5;23,00
Pre Shear Initial;32,34;11,00;23,39;500,0;5,47065E+005;0,07776;;;;;;;4,167E-004;24,89;1,0000;NaN;1,592E+003;106,5;23,00
Pre Shear Initial;33,34;12,00;23,40;500,0;5,97065E+005;0,07796;;;;;;;4,169E-004;24,84;1,0000;NaN;1,699E+003;106,5;23,00
