iso3,country,hdicode,region,hdi_rank_2021,hdi_1990,hdi_2021,le_1990,le_2021,eys_1990,eys_2021,mys_1990,mys_2021,gnipc_1990,gnipc_2021,gdi_group_2021,gdi_1990,gdi_2021,hdi_f_1990,hdi_f_2021,le_f_1990,le_f_2021,eys_f_1990,eys_f_2021,mys_f_1990,mys_f_2021,gni_pc_f_1990,gni_pc_f_2021,hdi_m_1990,hdi_m_2021,le_m_1990,le_m_2021,eys_m_1990,eys_m_2021,mys_m_1990,mys_m_2021,gni_pc_m_1990,gni_pc_m_2021,ihdi_2010,ihdi_2021,coef_ineq_2010,coef_ineq_2021,loss_2010,loss_2021,ineq_le_2010,ineq_le_2021,ineq_edu_2010,ineq_edu_2021,ineq_inc_2010,ineq_inc_2021,gii_rank_2021,gii_1990,gii_2021,mmr_1990,mmr_2021,abr_1990,abr_2021,se_f_1990,se_f_2021,se_m_1990,se_m_2021,pr_f_1990,pr_f_2021,pr_m_1990,pr_m_2021,lfpr_f_1990,lfpr_f_2021,lfpr_m_1990,lfpr_m_2021,rankdiff_hdi_phdi_2021,phdi_1990,phdi_2021,diff_hdi_phdi_1990,diff_hdi_phdi_2021,co2_prod_1990,co2_prod_2021,mf_1990,mf_2021,pop
AFG,Afghanistan,Low,SA,180,0.273,0.478,45.9672,61.9824,2.504050016,10.26384398,0.97112539,2.98506999,2684.550019,1824.190915,5,0.595,0.681,0.196279945,0.36484023,48.3973,65.2791,1.970662649,7.736391273,0.342503031,2.311079979,668.0557602,532.9553682,0.329910184,0.535610873,43.7088,58.9147,3.939092538,12.67218933,1.311019876,3.401309967,4700.298515,3089.270418,0.312,,29.13924655,,30.35714286,,33.84173965,26.16536713,42.809,45.36517,10.767,,167,,0.678,1500,638,142.96,82.565,0.700484716,6.395730019,5.419458611,14.86571026,,27.21518987,,72.78481013,15.18,14.848,77.43,66.515,5,0.27,0.474,1.098901099,0.836820084,0.209727313,0.312376488,2.33,1.38,32890
AGO,Angola,Medium,SSA,148,,0.586,41.8933,61.6434,3.537480116,12.1721,,5.417390823,4845.706901,5465.617791,4,,0.903,,0.556745058,45.4532,64.3066,3.28022336,11.5409,,4.183875561,3944.379344,4751.373256,,0.616557703,38.6736,59.0291,3.794736871,12.9132,,6.894268513,5770.778138,6196.650485,,0.407,,30.41216757,,30.54607509,39.49775696,28.1877327,,34.17144,24.454,28.87733,136,0.725,0.537,1150,241,198.803,138.402,4.49571694,28.1639,23.28253778,51.54617,9.545454545,29.54545455,90.45454545,70.45454545,75.408,73.968,79.292,79.071,10,,0.577,,1.535836177,0.429585937,0.675409733,2.44,2.18,33086
ALB,Albania,High,ECA,67,0.647,0.796,73.1439,76.4626,11.60293007,14.44799995,7.354632085,11.28645502,4742.215529,14131.11039,1,0.922,1.007,0.616863759,0.799221622,76.4334,79.1726,11.30202007,15.31414032,6.692813596,11.68443326,3269.522238,11637.21567,0.668709103,0.793604613,70.05,74.0869,11.88436031,13.65186977,7.920670472,10.92069549,6163.322477,16629.90211,0.657,0.71,12.81314377,10.76768488,12.86472149,10.8040201,8.208471298,6.790634632,11.9,12.33344,18.33096,13.17898,39,,0.144,40,15,14.815,14.517,58.16488349,95.38750547,67.01064279,93.03841453,,35.71428571,,64.28571429,51.364,50.733,72.51,66.154,28,0.619,0.739,4.327666151,7.16080402,1.656901718,1.575753953,6.63,12.96,2830
AND,Andorra,Very High,,40,,0.858,78.4063,80.3684,10.79878,13.30023874,,10.55511952,43773.1465,51166.62661,,,,,,82.6756,84.3238,,,,10.48113913,,,,,75.2791,77.1723,,,,10.62797735,,,,,,,,,5.217056751,5.297909737,15.1603022,10.00815435,,,,,,,,10.656,5.887,,70.66585436,,72.42209721,7.142857143,46.42857143,92.85714286,53.57142857,,,,,,,,,,7.461153204,6.034944671,,,8.1
ARE,United Arab Emirates,Very High,AS,26,0.728,0.911,71.9004,78.7104,10.47455978,15.71769047,5.759906188,12.69402981,102433.136,62573.59181,2,0.961,0.953,0.697888438,0.87713227,74.9219,80.9371,10.96512985,16.53561974,5.89831638,12.52534008,26161.87837,28921.14482,0.726520359,0.920631429,70.2619,77.2164,10.16147041,15.20983028,5.704969792,12.80508041,140146.366,77317.68017,,,,,,,5.837978363,4.524926186,,12.63435527,,,11,0.659,0.049,13,3,48.493,3.085,43.90729615,81.99700165,42.27617368,85.59674072,0,50,100,50,29.083,46.542,91.714,88.003,-105,0.359,0.518,50.68681319,43.13940724,28.2776718,15.19333592,64.75,68.95,9282
ARG,Argentina,Very High,LAC,47,0.723,0.842,71.7837,75.3899,13.28104085,17.8748703,8.126089428,11.14726927,13597.68636,20925.26814,1,0.982,0.997,0.712794358,0.833324995,74.9633,78.6471,14.24258004,19.23380089,8.005130755,11.35364528,8857.443343,15580.71571,0.725844512,0.835521148,68.5519,72.1818,12.31950167,16.55146027,8.259140797,10.90602315,18488.61177,26376.42505,0.702,0.72,15.16343292,13.83730084,15.82733813,14.48931116,9.677746773,7.624845505,6.91431,5.78729,28.898242,28.099767,69,0.442,0.287,84,39,70.928,39.065,35.31240981,70.95140102,37.85017654,71.41679445,22.79635258,44.3768997,77.20364742,55.6231003,45.041,50.01,74.389,71.603,26,0.668,0.759,7.607192254,9.857482185,3.436043385,3.473291552,11.08,15.81,47327
ARM,Armenia,High,ECA,85,0.656,0.759,68.8209,72.0431,10.92731277,13.11676025,9.781759786,11.33030033,5210.201884,13157.9939,1,,1.001,,0.756949514,71.989,77.35,,13.81657982,9.617912344,11.32151985,3752.389929,8736.263849,,0.756110563,65.4466,66.5544,,12.52400017,9.992223725,11.34119034,6768.247484,18557.94799,0.673,0.688,9.638623667,9.136398122,9.785522788,9.354413702,10.976511,7.035874367,3.685,2.93495,14.25436,17.43837,53,0.47,0.216,52,26,73.201,18.511,84.59967424,96.00138092,88.61344023,97.05095673,6.315789474,33.64485981,93.68421053,66.35514019,44.833,42.663,62.743,63.004,33,,0.727,,4.216073781,2.533031897,1.987788379,,5.95,2964
ATG,Antigua and Barbuda,High,LAC,71,,0.788,73.4922,78.4968,,14.18462641,,9.293740746,13560.30944,16792.36595,,,,,,75.9699,80.9411,,15.20951739,,,,,,,70.8988,75.7753,,13.19281252,,,,,,,,,,,6.892321587,4.746305943,,,,,,,,54,42,82.867,33.11,,,,,11.11111111,31.42857143,88.88888889,68.57142857,,,,,,,,,,3.515864893,4.395122997,,,101
AUS,Australia,Very High,,5,0.865,0.951,77.0443,84.5265,17.5350793,21.05459023,11.22770758,12.72681999,29069.15488,49238.43335,2,0.961,0.968,0.845606964,0.93167223,80.1471,85.8396,17.45982351,21.81757927,10.9837358,12.81058979,20091.93542,37485.5883,0.879499213,0.962956483,73.9777,83.1718,17.60438984,20.30187988,11.49628253,12.63971043,38093.89028,61160.79011,0.846,0.876,8.173929686,7.640183183,8.342361863,7.886435331,4.075361729,2.73797965,2.74642733,3.056569899,17.7,17.126,19,0.185,0.073,8,6,21.673,8.096,90.13876038,94.58006287,90.63679579,94.43006897,20.53571429,37.88546256,79.46428571,62.11453744,52.218,61.057,75.544,70.547,-87,0.622,0.637,28.09248555,33.01787592,16.47140133,15.36837971,34.68,46.82,26015
AUT,Austria,Very High,,25,0.825,0.916,75.7396,81.5797,13.93255997,16.00795937,10.20033055,12.25669003,38902.26267,53618.67138,1,0.94,0.98,0.796139864,0.905682295,78.8693,84.084,13.45191956,16.39508057,9.635222003,11.97801018,25568.08741,43413.88736,0.847259115,0.923877356,72.2272,79.0433,14.39311981,15.64367962,10.84718627,12.55373955,53424.86018,64148.48737,0.843,0.851,6.421654234,6.904079795,6.541019956,7.096069869,4.079942703,3.256919384,2.48836,2.52241,12.69666,14.93291,12,0.202,0.053,8,5,22.827,5.521,61.96646032,100,84.63023839,100,24.69635628,39.3442623,75.30364372,60.6557377,43.006,55.514,69.381,66.283,9,0.691,0.766,16.24242424,16.37554585,8.045120443,6.732425105,22.23,24.62,9091
